Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,806766,,238217895,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,760,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,961,,433969,,,2
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,348,,80550,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1353,,,2
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,35794,,5397324,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,152,,146680,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,84,Belize,BLZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1758,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,0,,565,,,4
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,391,,,2
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,447,,,4
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1200,,2226807,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7397,,9492378,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,358,,,2
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,152,,17085,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,63,,272706,,,6
